day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
1,1017.4,21.2,20.6,19.9,19.4,87,88,1.1,60,17.2,1
2,1019.5,16.2,16.9,15.8,15.4,95,91,0,50,21.9,1
3,1024.1,19.4,16.1,14.6,9.3,75,47,8.3,70,18.1,1
4,1013.4,18.1,17.8,16.9,16.8,95,95,0,60,35.6,1
5,1021.8,21.3,18.4,15.2,9.6,52,45,3.6,40,24.8,0
6,1022.7,20.6,18.6,16.5,12.5,79,81,0,20,15.7,1
7,1022.8,19.5,18.4,15.3,11.3,56,46,7.6,20,28.4,0
8,1019.7,15.8,13.6,12.7,11.8,96,100,0,50,52.8,1
9,1017.4,17.6,16.5,15.6,12.5,86,100,0,50,37.5,1
10,1025.4,16.5,14.4,12,8.6,77,84,1,50,38.3,0
11,1016.8,16.3,15.3,14.1,14,97,100,0,40,24.4,1
12,1012.5,16.2,15.2,14,12.4,98,100,0,50,23.5,1
13,1020.4,15,15.5,13.2,12,77,86,0,50,32.4,1
14,1012.5,13.5,12.9,11.6,11.8,87,92,0,50,37,1
15,1018.4,17.8,16.5,15.1,12.1,77,85,1.2,40,20.9,1
16,1024.3,15.3,12.9,10,11.2,79,91,0.3,20,20,1
17,1022.5,16.3,13.1,11.4,2,79,70,6.8,20,30.3,1
18,1034.6,17.5,16.2,14.1,11.8,68,60,2.5,50,13.4,0
19,1024.1,16.8,15.8,14,12.9,76,77,0,20,20.5,1
20,1020.2,16.4,14.2,12.7,11.6,75,93,0.1,40,21.9,1
21,1022.4,17.7,16.4,14.8,11.3,92,88,0.4,30,41.3,1
22,1022.6,21.9,17.8,15.8,14.3,52,49,9.1,50,10.2,0
23,1020.6,18.5,17.3,16.9,16.8,95,95,0,60,39.5,1
24,1013,24.8,19.9,17.1,18.1,90,92,0,70,30.4,1
25,1012.5,23.8,22.2,20.4,20.8,84,88,0,70,30.2,1
26,1019.5,25.3,22.3,21,20.6,76,78,10.2,80,10.2,1
27,1013.4,23.8,21.1,19.8,19.6,92,95,0,40,15.9,1
28,1017,21.7,20.3,19.4,17.9,80,80,2.6,50,14.5,1
